Sector,Year,Month,Commodity_Index
Rural+Urban,2023,January,167.65714285714287
Rural+Urban,2023,February,168.08571428571426
Urban,2013,January,104.54285714285716
Urban,2013,February,104.94285714285714
Urban,2013,March,104.82857142857144
Urban,2013,April,106.57142857142857
Urban,2013,May,109.04285714285713
Urban,2013,June,112.49999999999999
Urban,2013,July,115.27142857142856
Urban,2013,August,117.04285714285713
Urban,2013,September,116.11428571428571
Urban,2013,October,118.0
Urban,2013,November,120.27142857142857
Urban,2013,December,113.85714285714286
Urban,2014,January,110.31428571428572
Urban,2014,February,109.58571428571429
Urban,2014,March,110.74285714285713
Urban,2014,April,114.29999999999998
Urban,2014,May,116.18571428571428
Urban,2014,June,118.24285714285713
Urban,2014,July,124.17142857142858
Urban,2014,August,126.14285714285714
Urban,2014,September,123.21428571428571
Urban,2014,October,121.94285714285715
Urban,2014,November,120.97142857142858
Urban,2014,December,119.08571428571429
Urban,2015,January,118.51428571428572
Urban,2015,February,118.62857142857142
Urban,2015,March,118.82857142857144
Urban,2015,April,120.04285714285716
Urban,2015,May,122.5142857142857
Urban,2015,June,125.28571428571429
Urban,2015,July,126.07142857142857
Urban,2015,August,128.5
Urban,2015,September,129.85714285714283
Urban,2015,October,133.55714285714285
Urban,2015,November,134.54285714285714
Urban,2015,December,132.21428571428572
Urban,2016,January,131.12857142857143
Urban,2016,February,128.02857142857144
Urban,2016,March,127.55714285714285
Urban,2016,April,132.5857142857143
Urban,2016,May,136.41428571428574
Urban,2016,June,140.64285714285714
Urban,2016,July,142.84285714285713
Urban,2016,August,140.02857142857144
Urban,2016,September,136.9857142857143
Urban,2016,October,137.58571428571426
Urban,2016,November,135.92857142857144
Urban,2016,December,132.4
Urban,2017,January,130.25714285714284
Urban,2017,February,129.32857142857142
Urban,2017,March,129.2
Urban,2017,April,129.55714285714285
Urban,2017,May,128.97142857142856
Urban,2017,June,130.52857142857144
Urban,2017,July,134.95714285714286
Urban,2017,August,136.12857142857143
Urban,2017,September,132.92857142857142
Urban,2017,October,134.58571428571426
Urban,2017,November,136.5
Urban,2017,December,132.67142857142858
Urban,2018,January,130.2142857142857
Urban,2018,February,128.07142857142858
Urban,2018,March,126.91428571428573
Urban,2018,April,127.72857142857144
Urban,2018,May,127.39999999999999
Urban,2018,June,129.82857142857142
Urban,2018,July,132.27142857142854
Urban,2018,August,132.21428571428572
Urban,2018,September,130.44285714285712
Urban,2018,October,130.74285714285713
Urban,2018,November,130.29999999999998
Urban,2018,December,128.21428571428572
Urban,2019,January,127.3
Urban,2019,February,128.21428571428572
Urban,2019,March,130.07142857142858
Urban,2019,May,135.27142857142857
Urban,2019,June,137.17142857142858
Urban,2019,July,139.68571428571425
Urban,2019,August,141.42857142857142
Urban,2019,September,141.97142857142856
Urban,2019,October,144.79999999999998
Urban,2019,November,146.57142857142858
Urban,2019,December,149.45714285714286
Urban,2020,January,146.78571428571428
Urban,2020,February,143.28571428571428
Urban,2020,March,141.4142857142857
Urban,2020,April,148.90000000000003
Urban,2020,May,148.42857142857142
Urban,2020,June,147.95714285714286
Urban,2020,July,147.95714285714286
Urban,2020,August,151.35714285714286
Urban,2020,September,153.41428571428574
Urban,2020,October,157.08571428571432
Urban,2020,November,160.11428571428573
Urban,2020,December,160.1142857142857
Urban,2021,January,156.12857142857143
Urban,2021,February,152.91428571428568
Urban,2021,March,152.18571428571428
Urban,2021,April,154.25714285714284
Urban,2021,May,157.65714285714284
Urban,2021,June,159.65714285714284
Urban,2021,July,160.41428571428574
Urban,2021,August,160.0
Urban,2021,September,160.0142857142857
Urban,2021,October,165.0
Urban,2021,November,167.37142857142857
Urban,2021,December,165.3142857142857
Urban,2022,January,162.6
Urban,2022,February,162.05714285714288
Urban,2022,March,162.87142857142857
Urban,2022,April,167.21428571428572
Urban,2022,May,170.08571428571432
Urban,2022,June,171.45714285714286
Urban,2022,July,171.98571428571427
Urban,2022,August,173.42857142857142
Urban,2022,September,174.05714285714285
Urban,2022,October,175.44285714285715
Urban,2022,November,172.81428571428572
Urban,2022,December,168.91428571428574
Urban,2023,January,169.32857142857142
Urban,2023,February,170.52857142857144
Urban,2023,March,170.54285714285714
